"統計期","期中人口(人)","經濟成長率(%)","國內生產毛額GDP(百萬元)","平均每人GDP(元)","國民所得(百萬元)","平均每人所得(元)"
"103年",23403635,4.72,16258047,694680,14212193,607264
"104年",23462914,1.47,17055080,726895,14860645,633367
"105年",23515945,2.17,17555268,746526,15305453,650854
"106年",23555522,3.66,18012387,764678,15732712,667899
"107年",23580080,2.91,18420039,781169,15991520,678179
"108年",23596027,3.06,18974097,804123,16366644,693619
"109年",23582179,3.42,20023752,849105,17337957,735214
"110年",23468275,6.72,21773291,927776,18917658,806095
"111年",23319977,2.68,22820430,978579,19702249,844866
"112年",23342541,1.12,23596734,1010890,19996540,856657
"113年",23410331,4.59,25549820,1091374,22068751,942680


"註解："
"1.2024Q3為修正數，2024Q4為初步統計數。"
"2.2024年為初步統計數。"
""
