項次,西元年,民國年,性別,年齡,預期壽命
1,2024,113,總計,0歲,81.1
2,2024,113,男性,0歲,77.78
3,2024,113,女性,0歲,84.42
4,2024,113,總計,1歲,80.43
5,2024,113,男性,1歲,77.12
6,2024,113,女性,1歲,83.73
7,2024,113,總計,2歲,79.45
8,2024,113,男性,2歲,76.15
9,2024,113,女性,2歲,82.75
10,2024,113,總計,3歲,78.47
11,2024,113,男性,3歲,75.16
12,2024,113,女性,3歲,81.76
13,2024,113,總計,4歲,77.48
14,2024,113,男性,4歲,74.17
15,2024,113,女性,4歲,80.78
16,2024,113,總計,5歲,76.49
17,2024,113,男性,5歲,73.18
18,2024,113,女性,5歲,79.79
19,2024,113,總計,6歲,75.49
20,2024,113,男性,6歲,72.19
21,2024,113,女性,6歲,78.79
22,2024,113,總計,7歲,74.5
23,2024,113,男性,7歲,71.2
24,2024,113,女性,7歲,77.8
25,2024,113,總計,8歲,73.51
26,2024,113,男性,8歲,70.21
27,2024,113,女性,8歲,76.81
28,2024,113,總計,9歲,72.51
29,2024,113,男性,9歲,69.21
30,2024,113,女性,9歲,75.81
31,2024,113,總計,10歲,71.52
32,2024,113,男性,10歲,68.22
33,2024,113,女性,10歲,74.82
34,2024,113,總計,11歲,70.53
35,2024,113,男性,11歲,67.22
36,2024,113,女性,11歲,73.82
37,2024,113,總計,12歲,69.53
38,2024,113,男性,12歲,66.23
39,2024,113,女性,12歲,72.83
40,2024,113,總計,13歲,68.54
41,2024,113,男性,13歲,65.24
42,2024,113,女性,13歲,71.84
43,2024,113,總計,14歲,67.55
44,2024,113,男性,14歲,64.25
45,2024,113,女性,14歲,70.85
46,2024,113,總計,15歲,66.56
47,2024,113,男性,15歲,63.26
48,2024,113,女性,15歲,69.86
49,2024,113,總計,16歲,65.58
50,2024,113,男性,16歲,62.28
51,2024,113,女性,16歲,68.87
52,2024,113,總計,17歲,64.6
53,2024,113,男性,17歲,61.31
54,2024,113,女性,17歲,67.88
55,2024,113,總計,18歲,63.62
56,2024,113,男性,18歲,60.33
57,2024,113,女性,18歲,66.9
58,2024,113,總計,19歲,62.64
59,2024,113,男性,19歲,59.37
60,2024,113,女性,19歲,65.91
61,2024,113,總計,20歲,61.67
62,2024,113,男性,20歲,58.4
63,2024,113,女性,20歲,64.93
64,2024,113,總計,21歲,60.7
65,2024,113,男性,21歲,57.44
66,2024,113,女性,21歲,63.95
67,2024,113,總計,22歲,59.72
68,2024,113,男性,22歲,56.47
69,2024,113,女性,22歲,62.97
70,2024,113,總計,23歲,58.75
71,2024,113,男性,23歲,55.51
72,2024,113,女性,23歲,61.99
73,2024,113,總計,24歲,57.78
74,2024,113,男性,24歲,54.54
75,2024,113,女性,24歲,61.01
76,2024,113,總計,25歲,56.81
77,2024,113,男性,25歲,53.57
78,2024,113,女性,25歲,60.03
79,2024,113,總計,26歲,55.83
80,2024,113,男性,26歲,52.61
81,2024,113,女性,26歲,59.05
82,2024,113,總計,27歲,54.86
83,2024,113,男性,27歲,51.64
84,2024,113,女性,27歲,58.07
85,2024,113,總計,28歲,53.89
86,2024,113,男性,28歲,50.67
87,2024,113,女性,28歲,57.09
88,2024,113,總計,29歲,52.91
89,2024,113,男性,29歲,49.71
90,2024,113,女性,29歲,56.11
91,2024,113,總計,30歲,51.94
92,2024,113,男性,30歲,48.74
93,2024,113,女性,30歲,55.13
94,2024,113,總計,31歲,50.97
95,2024,113,男性,31歲,47.78
96,2024,113,女性,31歲,54.15
97,2024,113,總計,32歲,50
98,2024,113,男性,32歲,46.82
99,2024,113,女性,32歲,53.17
100,2024,113,總計,33歲,49.04
101,2024,113,男性,33歲,45.86
102,2024,113,女性,33歲,52.19
103,2024,113,總計,34歲,48.07
104,2024,113,男性,34歲,44.91
105,2024,113,女性,34歲,51.22
106,2024,113,總計,35歲,47.11
107,2024,113,男性,35歲,43.95
108,2024,113,女性,35歲,50.24
109,2024,113,總計,36歲,46.15
110,2024,113,男性,36歲,43.01
111,2024,113,女性,36歲,49.27
112,2024,113,總計,37歲,45.2
113,2024,113,男性,37歲,42.06
114,2024,113,女性,37歲,48.3
115,2024,113,總計,38歲,44.24
116,2024,113,男性,38歲,41.13
117,2024,113,女性,38歲,47.33
118,2024,113,總計,39歲,43.3
119,2024,113,男性,39歲,40.19
120,2024,113,女性,39歲,46.36
121,2024,113,總計,40歲,42.35
122,2024,113,男性,40歲,39.27
123,2024,113,女性,40歲,45.4
124,2024,113,總計,41歲,41.41
125,2024,113,男性,41歲,38.35
126,2024,113,女性,41歲,44.44
127,2024,113,總計,42歲,40.48
128,2024,113,男性,42歲,37.43
129,2024,113,女性,42歲,43.48
130,2024,113,總計,43歲,39.55
131,2024,113,男性,43歲,36.53
132,2024,113,女性,43歲,42.52
133,2024,113,總計,44歲,38.63
134,2024,113,男性,44歲,35.63
135,2024,113,女性,44歲,41.57
136,2024,113,總計,45歲,37.71
137,2024,113,男性,45歲,34.74
138,2024,113,女性,45歲,40.62
139,2024,113,總計,46歲,36.8
140,2024,113,男性,46歲,33.86
141,2024,113,女性,46歲,39.67
142,2024,113,總計,47歲,35.9
143,2024,113,男性,47歲,32.99
144,2024,113,女性,47歲,38.73
145,2024,113,總計,48歲,35
146,2024,113,男性,48歲,32.13
147,2024,113,女性,48歲,37.79
148,2024,113,總計,49歲,34.1
