國別,民國年,西元年,類別,男性零歲平均餘命(歲),女性零歲平均餘命(歲),資料說明,資料來源
中華民國,59,1970,實際值,66.7,71.6,-,內政部，人口統計資料庫
中華民國,64,1975,實際值,68.3,73.4,-,內政部，人口統計資料庫
中華民國,69,1980,實際值,69.6,74.6,-,內政部，人口統計資料庫
中華民國,74,1985,實際值,70.8,75.8,-,內政部，人口統計資料庫
中華民國,79,1990,實際值,71.3,76.8,-,內政部，人口統計資料庫
中華民國,84,1995,實際值,71.9,77.7,-,內政部，人口統計資料庫
中華民國,89,2000,實際值,73.8,79.6,-,內政部，人口統計資料庫
中華民國,94,2005,實際值,74.5,80.8,-,內政部，人口統計資料庫
中華民國,99,2010,實際值,76.1,82.5,-,內政部，人口統計資料庫
中華民國,104,2015,實際值,77,83.6,-,內政部，人口統計資料庫
中華民國,109,2020,實際值,78.1,84.7,-,內政部，人口統計資料庫
中華民國,114,2025,中推估,78.2,84.8,-,國家發展委員會，「中華民國人口推估(2024年至2070年)」報告，2024年8月
中華民國,119,2030,中推估,79.2,85.6,-,國家發展委員會，「中華民國人口推估(2024年至2070年)」報告，2024年8月
中華民國,124,2035,中推估,80,86.3,-,國家發展委員會，「中華民國人口推估(2024年至2070年)」報告，2024年8月
中華民國,129,2040,中推估,80.6,86.9,-,國家發展委員會，「中華民國人口推估(2024年至2070年)」報告，2024年8月
中華民國,134,2045,中推估,81.3,87.6,-,國家發展委員會，「中華民國人口推估(2024年至2070年)」報告，2024年8月
中華民國,139,2050,中推估,82,88.2,-,國家發展委員會，「中華民國人口推估(2024年至2070年)」報告，2024年8月
中華民國,144,2055,中推估,82.6,88.8,-,國家發展委員會，「中華民國人口推估(2024年至2070年)」報告，2024年8月
中華民國,149,2060,中推估,83.2,89.4,-,國家發展委員會，「中華民國人口推估(2024年至2070年)」報告，2024年8月
中華民國,154,2065,中推估,83.8,90,-,國家發展委員會，「中華民國人口推估(2024年至2070年)」報告，2024年8月
中華民國,159,2070,中推估,84.4,90.5,-,國家發展委員會，「中華民國人口推估(2024年至2070年)」報告，2024年8月
日本,59,1970,實際值,69.3,74.7,-,厚生労働省，生命表(加工統計)
日本,64,1975,實際值,71.7,76.9,-,厚生労働省，生命表(加工統計)
日本,69,1980,實際值,73.4,78.8,-,厚生労働省，生命表(加工統計)
日本,74,1985,實際值,74.8,80.5,-,厚生労働省，生命表(加工統計)
日本,79,1990,實際值,75.9,81.9,-,厚生労働省，生命表(加工統計)
日本,84,1995,實際值,76.4,82.9,-,厚生労働省，生命表(加工統計)
日本,89,2000,實際值,77.7,84.6,-,厚生労働省，生命表(加工統計)
日本,94,2005,實際值,78.6,85.5,-,厚生労働省，生命表(加工統計)
日本,99,2010,實際值,79.6,86.3,-,厚生労働省，生命表(加工統計)
日本,104,2015,實際值,80.8,87,-,厚生労働省，生命表(加工統計)
日本,109,2020,實際值,81.6,87.7,-,厚生労働省，生命表(加工統計)
日本,114,2025,中推估,82,88.1,-,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）
日本,119,2030,中推估,82.6,88.6,-,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）
日本,124,2035,中推估,83.1,89.1,-,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）
日本,129,2040,中推估,83.6,89.6,-,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）
日本,134,2045,中推估,84,90.1,-,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）
日本,139,2050,中推估,84.5,90.5,-,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）
日本,144,2055,中推估,84.9,90.9,-,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）
日本,149,2060,中推估,85.2,91.3,-,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）
日本,154,2065,中推估,85.6,91.6,-,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）
日本,159,2070,中推估,85.9,91.9,-,国立社会保障・人口問題研究所，「日本の将来推計人口」（令和5年推計）
韓國,59,1970,實際值,58.7,65.8,-,KOSIS KOrean Statistical Information Service網站
韓國,64,1975,實際值,60.3,68.2,-,KOSIS KOrean Statistical Information Service網站
韓國,69,1980,實際值,61.9,70.4,-,KOSIS KOrean Statistical Information Service網站
韓國,74,1985,實際值,64.6,73.2,-,KOSIS KOrean Statistical Information Service網站
韓國,79,1990,實際值,67.5,75.9,-,KOSIS KOrean Statistical Information Service網站
韓國,84,1995,實際值,69.7,77.9,-,KOSIS KOrean Statistical Information Service網站
